Date,Section,Distance_from_downstream_transect,Downstream_transect, Width,Width_unit,Habitat_type,Shell_width,Shell_width_unit,Tag_ID,Depth,Depth_unit,Velocity,Velocity_unit,BR,BO,CO,PE,GV,SD,SL,Comments
7/28/2021,2,0.4,1,4.7,m,riffle,7.8,mm,y0003,4,cm,0.3,m/s,0,0,0,20,5,0,0,
7/28/2021,2,0.8,1,4.8,m,run,7.7,mm,y0002,5,cm,0.08,m/s,0,0,0,13,2,10,0,
7/28/2021,2,2.8,1,3.6,m,pool,7.2,mm,y0014,3,cm,0,m/s,0,0,2,18,5,0,0,
7/28/2021,3,4.7,2,3.7,m,run,6.9,mm,y0021,15,cm,0.1,m/s,0,0,3,15,4,3,0,
7/28/2021,4,2.2,3,2.1,m,riffle,7,mm,y0186,6,cm,0.2,m/s,0,0,5,20,0,0,0,
7/28/2021,4,2.6,3,2.3,m,riffle,6.9,mm,y0071,7,cm,0.17,m/s,0,0,11,14,0,0,0,
7/28/2021,5,2.4,4,3.8,m,pool,7.6,mm,y0030,7,cm,0,m/s,0,4,14,7,0,0,0,
7/28/2021,5,2.4,4,3.8,m,run,7.5,mm,y0176,9,cm,0.06,m/s,2,8,10,5,0,0,0,
7/28/2021,5,2.4,4,3.8,m,run,6.8,mm,y0212,12,cm,0.13,m/s,12,1,9,3,0,0,0,
7/28/2021,8,0.7,7,2.8,m,run,7.3,mm,y0154,7,cm,0.11,m/s,0,4,17,4,0,0,0,
7/28/2021,8,1.5,7,3,m,run,7.4,mm,y0039,8,cm,0.09,m/s,20,0,3,0,2,0,0,
7/28/2021,8,0.7,7,2.8,m,pool,7.3,mm,y0101,8,cm,0,m/s,20,0,3,2,0,0,0,
7/28/2021,8,4.7,7,2.3,m,riffle,7,mm,y0318,4,cm,0.21,m/s,25,0,0,0,0,0,0,
7/28/2021,9,2.2,8,2.1,m,riffle,7.8,mm,y0158,10,cm,0.28,m/s,15,1,5,2,2,0,0,
7/28/2021,10,0.8,9,2.7,m,riffle,7.9,mm,y0106,10,cm,0.19,m/s,10,5,4,6,0,0,0,
7/28/2021,10,3.8,9,2.3,m,run,7.1,mm,y0222,14,cm,0.05,m/s,17,0,3,5,0,0,0,
7/28/2021,11,1.6,10,1.2,m,riffle,7.4,mm,y0178,4,cm,0.11,m/s,25,0,0,0,0,0,0,
7/28/2021,11,4.7,10,1.9,m,run,7.4,mm,y0046,26,cm,0.03,m/s,23,0,2,0,0,0,0,
7/28/2021,11,4.9,10,2,m,run,7.3,mm,y0095,21,cm,0.05,m/s,23,1,1,0,0,0,0,
7/28/2021,12,4.9,11,2.7,m,riffle,7.5,mm,y0144,6,cm,0.35,m/s,25,0,0,0,0,0,0,
7/28/2021,12,3,11,1.7,m,riffle,7.7,mm,y0279,19,cm,0.05,m/s,13,7,5,0,0,0,0,
7/28/2021,12,2.7,11,1.7,m,pool,7.1,mm,y0177,6,cm,0,m/s,25,0,0,0,0,0,0,
7/28/2021,13,3.5,12,3.8,m,riffle,7.6,mm,y0013,5,cm,0.14,m/s,23,2,0,0,0,0,0,
7/28/2021,14,0.1,13,1,m,riffle,7,mm,y0229,6,cm,0.01,m/s,16,2,4,0,3,0,0,
7/28/2021,14,3.5,13,3,m,run,7,mm,y0268,18,cm,0.03,m/s,9,2,10,3,0,1,0,
7/28/2021,16,3.4,15,3.3,m,pool,7,mm,y0183,9,cm,0,m/s,25,0,0,0,0,0,0,
7/28/2021,17,3.5,16,2.7,m,pool,7.1,mm,y0320,21,cm,0.01,m/s,3,12,6,4,0,0,0,
7/28/2021,17,3.1,16,2,m,run,6.8,mm,y0309,18,cm,0.05,m/s,9,10,0,4,1,1,0,
7/28/2021,18,2.8,17,1.8,m,run,7.5,mm,y0288,14,cm,0.05,m/s,0,3,11,11,0,0,0,dead
7/28/2021,20,2.9,19,2.9,m,riffle,6.6,mm,y0291,8,cm,0.54,m/s,18,0,0,7,0,0,0,same location as 308
7/28/2021,20,2.9,19,2.9,m,riffle,7.3,mm,y0308,8,cm,0.54,m/s,18,0,0,7,0,0,0,same location as 291
7/28/2021,20,2.9,19,2.9,m,riffle,7.5,mm,y0250,10,cm,0.23,m/s,10,0,5,8,2,0,0,
7/28/2021,21,4.5,20,2,m,run,7.5,mm,y0278,8,cm,0.05,m/s,0,0,0,21,0,4,0,
7/28/2021,21,4.8,20,1.7,m,run,6.8,mm,y0294,15,cm,0.08,m/s,5,0,2,18,0,0,0,
7/28/2021,22,2.7,21,1.3,m,riffle,7.6,mm,y0321,11,cm,0.03,m/s,0,0,4,15,0,6,0,
7/28/2021,22,2.9,21,1,m,riffle,6.6,mm,y0296,6,cm,0.14,m/s,10,0,0,0,11,4,0,
7/28/2021,23,0.3,22,2.6,m,riffle,7.4,mm,y0329,8,cm,0.15,m/s,0,0,0,17,1,3,4,
7/28/2021,23,2.8,22,4.7,m,run,7.9,mm,y0368,4,cm,0.05,m/s,0,0,0,12,3,10,0,
7/28/2021,24,3.7,23,3.6,m,run,7.3,mm,y0379,3,cm,0.04,m/s,3,3,4,13,0,2,0,
7/28/2021,24,0,23,4.4,m,run,7.5,mm,y0356,2,cm,0,m/s,0,0,1,18,4,2,0,
7/28/2021,NA,NA,NA,2,m,culvert,7,mm,y0289,5,cm,0,m/s,0,0,0,0,0,0,0,inside culvert
